modeild,weblabel,brand,catchline,productnature,family,Review-AverageRating,DisplayPrice-Amount,ListPrice-Amount
8071204,REGULADOR DE RED DE TENIS,ARTENGO,Indispensable para una buena altura de red.,REDES,EQUIPAMIENTO COACH/CLUB,5.0,9.99,9.99
8071566,PELOTA DE TENIS POLIVALENTE TB920 *4 AMARILLO,ARTENGO,"¡Durabilidad y control!Pelota oficial del torneo de la ATP 250 Moselle Open, la TB920 se recomienda por su calidad de rebote y por su control.Nuevo empaquetado y nuevo logotipo pero pelotas idénticas.",Pelota de tenis,PELOTAS TENIS,4.5,5.99,5.99
8071569,PELOTA DE TENIS TB530 *4 AMARILLO,ARTENGO,¡Pelota de competición a bajo precio!Nuevo empaquetado y nuevo logotipo pero pelotas idénticas.,Pelota de tenis,PELOTAS TENIS,4.5,4.49,4.49
8072596,"CORDAJE DE TENIS BABOLAT MULTIFILAMENTOS XCEL LIMITED 1,30 mm NATURAL",BABOLAT,"Este cordaje de tenis multifilamentos Babolat Xcel Limited 1,3 mm es perfecto para los jugadores que buscan comodidad y sensaciones.",Cordaje raqueta,CORDAJES TENIS,4.7,14.99,14.99
8072605,"Cordaje Tenis Monofilamento Big Banger Alu Power Gris 1,25 mm Gris",LUXILON,"Este cordaje de tenis monofilamento Luxilon Alu Power de 1,25 mm es el cordaje más utilizado por los expertos gracias a su potencia y control de alta gama.",Cordaje raqueta,CORDAJES TENIS,4.3,14.99,14.99
8072804,GRIP DE TENIS BABOLAT SYNTEC NEGRO ,BABOLAT,El grip de tenis syntec pro Babolat es la referencia de Babolat en los grips destinados a la competición. Aumenta las sensaciones gracias al grosor reducido en un 10%. Es muy absorbente.,EMPUÑADURA,ACCESORIOS RAQUETA TENIS,4.6,6.49,6.49
8073464,RED PARA 10 PELOTAS DE TENIS,ARTENGO,"Esta bolsa puede contener 10 pelotas de tenis, permitiendo guardarlas y transportarlas muy fácilmente.ATENCIÓN, SE VENDE SIN LAS PELOTAS",Ball net,EQUIPAMIENTO COACH/CLUB,4.8,4.99,4.99
1091452,REVESTIMIENTO PALA DE PING PONG MARK V,YASAKA,El revestimiento de ping-pong Mark V Yasaka es adecuado para los jugadores muy ofensivos a quienes les gustan los golpes de pelota y topspins muy rápidos. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.4,34.99,34.99
8042472,MADERA DE PALA DE PING PONG IV L BALSA ,TIBHAR,"La madera IV L Balsa es muy ligera, adecuada para jugadores que buscan una sensación de contacto con la pelota y un control máximo. ",Madera,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,3.8,29.99,29.99
1091452,REVESTIMIENTO PALA DE PING PONG MARK V,YASAKA,El revestimiento de ping-pong Mark V Yasaka es adecuado para los jugadores muy ofensivos a quienes les gustan los golpes de pelota y topspins muy rápidos. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.4,34.99,34.99
1091452,REVESTIMIENTO PALA DE PING PONG MARK V,YASAKA,El revestimiento de ping-pong Mark V Yasaka es adecuado para los jugadores muy ofensivos a quienes les gustan los golpes de pelota y topspins muy rápidos. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.4,34.99,34.99
1091452,REVESTIMIENTO PALA DE PING PONG MARK V,YASAKA,El revestimiento de ping-pong Mark V Yasaka es adecuado para los jugadores muy ofensivos a quienes les gustan los golpes de pelota y topspins muy rápidos. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.4,34.99,34.99
1091452,REVESTIMIENTO PALA DE PING PONG MARK V,YASAKA,El revestimiento de ping-pong Mark V Yasaka es adecuado para los jugadores muy ofensivos a quienes les gustan los golpes de pelota y topspins muy rápidos. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.4,34.99,34.99
1091452,REVESTIMIENTO PALA DE PING PONG MARK V,YASAKA,El revestimiento de ping-pong Mark V Yasaka es adecuado para los jugadores muy ofensivos a quienes les gustan los golpes de pelota y topspins muy rápidos. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.4,34.99,34.99
1091517,REVESTIMIENTO PALA DE PING-PONG YASAKA MARK V GPS,YASAKA,El revestimiento de ping pong Mark V GPS tiene una espuma intermedia y proporciona un juego de ataque en rotación. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.0,24.99,34.99
1091517,REVESTIMIENTO PALA DE PING-PONG YASAKA MARK V GPS,YASAKA,El revestimiento de ping pong Mark V GPS tiene una espuma intermedia y proporciona un juego de ataque en rotación. ,Revestimiento,MADERAS/REVESTIMIENTOS/ACCESORIOS TDM,4.0,24.99,34.99
