,product_bought,Review-AverageRating,DisplayPrice-Amount,ListPrice-Amount,age_sender,diff_age,ratio_recommender,ratio_costumer
4400,1,4.2,69.99,69.99,16,11,0.45945945945945943,0.7272727272727273
617,0,4.4,2.99,2.99,29,2,0.5135135135135136,0.7272727272727273
5199,1,5.0,15.99,15.99,36,9,0.3513513513513513,0.7272727272727273
6399,1,4.1,21.99,27.99,35,8,0.4594594594594595,0.7272727272727273
3978,1,4.1,11.99,11.99,21,6,0.3783783783783784,0.7272727272727273
1383,0,4.5,11.99,15.99,41,14,0.5945945945945946,0.7272727272727273
3337,0,4.6,699.99,699.99,19,8,0.3783783783783784,0.7272727272727273
5287,1,4.7,29.99,29.99,27,0,0.24324324324324328,0.7272727272727273
6927,1,4.5,49.99,49.99,19,8,0.4864864864864865,0.7272727272727273
1014,1,4.5,59.99,89.99,17,10,0.43243243243243246,0.7272727272727273
1180,1,4.0,119.99,119.99,17,10,0.43243243243243246,0.7272727272727273
1304,0,4.0,24.99,34.99,17,10,0.5405405405405406,0.7272727272727273
2578,1,4.6,39.99,54.99,29,2,0.4594594594594595,0.7272727272727273
2003,1,4.8,19.99,19.99,39,12,0.4054054054054054,0.7272727272727273
2208,1,4.5,39.99,39.99,17,10,0.4594594594594595,0.7272727272727273
1045,1,4.7,7.99,7.99,39,12,0.24324324324324326,0.7272727272727273
3719,0,4.6,39.99,54.99,28,1,0.5405405405405406,0.7272727272727273
4860,1,4.3,29.99,29.99,17,10,0.2972972972972973,0.7272727272727273
5089,0,4.5,19.99,19.99,19,8,0.35135135135135137,0.7272727272727273
6817,1,4.1,69.99,69.99,32,5,0.45945945945945954,0.7272727272727273
21,1,3.8,19.99,19.99,18,9,0.4864864864864865,0.7272727272727273
4954,1,4.6,14.99,14.99,27,0,0.2972972972972973,0.7272727272727273
2090,0,4.6,6.99,6.99,35,8,0.40540540540540543,0.56
1479,0,4.4,64.99,64.99,19,24,0.4324324324324324,0.56
5860,1,4.3,9.99,9.99,21,22,0.3783783783783784,0.56
5321,0,0.0,87.99,87.99,20,23,0.24324324324324323,0.56
6171,0,0.0,59.99,59.99,39,4,0.3783783783783784,0.56
1001,0,0.0,64.99,64.99,36,7,0.24324324324324328,0.56
5635,1,4.6,229.99,229.99,34,9,0.5135135135135135,0.56
2131,1,4.9,19.99,19.99,29,14,0.2972972972972973,0.56
6777,1,4.5,7.99,7.99,31,12,0.45945945945945943,0.56
2629,1,4.2,39.99,49.99,45,2,0.29729729729729726,0.56
2213,1,4.6,14.99,14.99,44,1,0.24324324324324326,0.56
1340,0,4.7,4.99,4.99,42,1,0.40540540540540543,0.56
5367,1,4.4,29.99,29.99,41,2,0.43243243243243246,0.56
2939,1,0.0,87.99,87.99,17,26,0.35135135135135137,0.56
3499,1,4.5,39.99,39.99,20,23,0.43243243243243246,0.56
1818,1,4.8,69.99,69.99,28,15,0.24324324324324323,0.56
720,0,4.8,6.0,9.99,32,11,0.40540540540540543,0.56
4053,0,4.2,7.99,7.99,17,26,0.4594594594594595,0.56
759,1,4.7,14.99,14.99,25,18,0.5405405405405406,0.56
2833,1,4.2,69.99,69.99,27,16,0.48648648648648646,0.56
4181,0,0.0,8.99,8.99,29,14,0.4864864864864865,0.56
3050,1,4.4,26.99,26.99,41,2,0.4594594594594595,0.56
5565,0,4.8,9.99,9.99,32,11,0.35135135135135137,0.56
2626,1,4.7,29.99,29.99,41,2,0.4594594594594595,0.56
20,0,4.4,12.99,12.99,37,6,0.4594594594594595,0.56
1183,1,4.8,64.99,64.99,29,6,0.43243243243243246,0.7575757575757576
6790,1,0.0,29.99,29.99,43,8,0.3243243243243243,0.7575757575757576
6669,1,4.8,11.99,14.99,41,6,0.37837837837837834,0.7575757575757576
4884,1,4.6,24.99,24.99,25,10,0.5405405405405406,0.7575757575757576
2225,1,4.7,64.99,64.99,37,2,0.40540540540540543,0.7575757575757576
5596,1,0.0,12.99,12.99,29,6,0.4594594594594595,0.7575757575757576
4774,1,5.0,16.99,17.99,26,9,0.2702702702702703,0.7575757575757576
32,1,4.4,24.99,24.99,37,2,0.40540540540540543,0.7575757575757576
6680,1,4.7,7.99,7.99,35,0,0.5405405405405406,0.7575757575757576
2477,1,4.6,2.99,2.99,45,10,0.37837837837837834,0.7575757575757576
2105,1,0.0,114.99,114.99,44,9,0.4324324324324324,0.7575757575757576
5428,0,4.6,14.99,14.99,27,8,0.4864864864864865,0.7575757575757576
5114,1,4.5,12.99,12.99,28,7,0.37837837837837834,0.7575757575757576
4476,0,4.4,5.99,6.99,27,8,0.2972972972972973,0.7575757575757576
1225,1,2.0,189.99,189.99,27,8,0.2972972972972973,0.7575757575757576
3363,0,4.2,109.99,109.99,21,14,0.5405405405405405,0.7575757575757576
5921,1,3.0,69.99,69.99,45,10,0.4324324324324324,0.7575757575757576
1755,0,4.0,29.99,29.99,26,9,0.21621621621621623,0.7575757575757576
2912,1,4.7,7.99,7.99,22,13,0.32432432432432434,0.7575757575757576
4161,1,2.0,189.99,189.99,27,8,0.45945945945945943,0.7575757575757576
333,1,4.5,17.99,17.99,23,12,0.4054054054054054,0.7575757575757576
6417,1,3.8,19.99,19.99,20,15,0.5135135135135135,0.7575757575757576
4949,1,4.6,9.99,9.99,37,2,0.5135135135135136,0.7575757575757576
1700,1,5.0,9.99,9.99,20,15,0.24324324324324323,0.7575757575757576
1715,0,0.0,5.99,5.99,35,0,0.2702702702702703,0.7575757575757576
5124,0,5.0,12.99,12.99,17,18,0.43243243243243246,0.7575757575757576
85,1,4.6,9.99,17.99,24,11,0.6216216216216217,0.7575757575757576
6818,1,5.0,14.99,19.99,27,8,0.43243243243243246,0.7575757575757576
4211,0,4.5,19.99,19.99,33,2,0.40540540540540543,0.7575757575757576
5334,1,4.8,19.99,19.99,19,16,0.5405405405405406,0.7575757575757576
6983,0,4.8,14.99,14.99,37,2,0.40540540540540543,0.7575757575757576
